Source:,C:\Users\shawn\Documents\ee198\198-hope\HOPE_finalProj\HOPE_finalProj.sch,,,,,,,,,,
Date:,4/29/2020 18:11,,,,,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,,,,,
Component Count:,43,,,,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Price per Unit,Total Price,Vendor Link,,,
"AE1, ",1,Antenna,Antenna,HOPE_finalProj_lib:Antena,Antenna,1.16,1.16,https://www.digikey.com/product-detail/en/linx-technologies-inc/ANT-433-HETH/ANT-433-HETH-ND/625468,,,
"BAT1, ",1,BC9VPC,BC9VPC,digikey-footprints:Battery_Holder_9V_BC9VPC-ND,BATTERY HOLDER 9V PC PIN,2.08,2.08,https://www.digikey.com/product-detail/en/mpd-memory-protection-devices/BC9VPC/BC9VPC-ND/257747,,,
"C1, C7, C8, C10, C15, C16, C17, C18, ",8,1u,C,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,Unpolarized capacitor,0.64,5.12,https://www.digikey.com/product-detail/en/avx-corporation/TAP105K035SCS/478-1835-ND/563938,,,
"C2, C5, C9, C11, ",4,2.2u,C,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,Unpolarized capacitor,1.01,4.04,https://www.digikey.com/product-detail/en/avx-corporation/TAP225K050SCS/478-1872-ND/563975,,,
"C3, C6, C12, C13, ",4,10p,C,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,Unpolarized capacitor,2.07,8.28,https://www.digikey.com/product-detail/en/cornell-dubilier-electronics-cde/CD15CD100JO3F/338-2604-ND/1917719,,,
"C4, C14, ",2,0.1u,C,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm,Unpolarized capacitor,0.63,1.26,https://www.digikey.com/product-detail/en/avx-corporation/TAP104K035SCS/478-1831-ND/563934,,,
"LS1, ",1,,Speaker,Connector_Wire:SolderWirePad_1x02_P3.81mm_Drill0.8mm,Speaker,3.61,3.61,https://www.digikey.com/products/en?keywords=102-3851-ND,,,
"M1, ",1,,Mixer-projLib,digikey-footprints:DIP-8_W7.62mm,,3.98,3.98,https://www.ebay.com/itm/1P-x-SA612AN-IC-SA612A-Double-Balanced-Mixer-Oscillator-VHF-/192314431535,,,
"MK1, ",1,,Microphone,HOPE_finalProj_lib:Mic,Microphone,0.77,0.77,https://www.digikey.com/product-detail/en/cui-devices/CMA-4544PF-W/102-1721-ND/1869981,,,
"R1, ",1,1k,R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,Resistor,0.1,0.1,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF18JT1K00/CF18JT1K00CT-ND/2022742,,,
"R2, R3, R4, R5, R8, R9, R10, R11, ",8,100k,R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,Resistor,0.1,0.8,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT100K/CF14JT100KCT-ND/1830399,,,
"R6, R13, ",2,75k,R,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,Resistor,0.1,0.2,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT75K0/CF14JT75K0CT-ND/1830396,,,
"R7, R12, ",2,50k,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Resistor,0.79,1.58,https://www.digikey.com/product-detail/en/vishay-dale/RN55C5002BB14/RN55C5002BB14-ND/3324057,,,
"SW1, SW3, ",2,SW_Push_DPDT,SW_Push_DPDT,HOPE_finalProj_lib:DPDT_Switch,"Momentary Switch, dual pole double throw",0.71,1.42,https://www.digikey.com/product-detail/en/e-switch/TL2230EEF100/EG6030-ND/3778181,,,
"U1, U4, ",2,LM386N-3_NOPB,LM386N-3_NOPB-dk_Linear-Amplifiers-Audio,digikey-footprints:DIP-8_W7.62mm,,1.17,2.34,https://www.digikey.com/product-detail/en/texas-instruments/LM386N-1-NOPB/296-44414-5-ND/6284,,,
"U2, U3, ",2,NE5534,NE5534,digikey-footprints:DIP-8_W7.62mm,"Single Low-Noise Operational Amplifiers, DIP-8/SOIC-8",0.98,1.96,https://www.digikey.com/product-detail/en/texas-instruments/NE5534P/296-7043-5-ND/378265,,,
"Y1, ",1,Crystal,Crystal,HOPE_finalProj_lib:Crystal,Two pin crystal,1.09,1.09,https://www.digikey.com/product-detail/en/abracon-llc/ABM3B-8.000MHZ-B2-T/535-9720-1-ND/1873254,,,
,,,,,,,38.63,,,,
